datetime,device_total(KB),device_receive(KB),device_transport(KB),package,pid,pid_rx(KB),pid_tx(KB),pid_total(KB)
2024-01-18 19-07-31,632769.21,66039.37,566729.85,com.yangcong345.android.phone,3883,65960.04,566705.76,632665.8
2024-01-18 19-07-36,639022.52,68601.85,570420.67,com.yangcong345.android.phone,3883,68523.7,570345.7,638869.4
2024-01-18 19-07-41,643072.12,68814.28,574257.84,com.yangcong345.android.phone,3883,68735.35,574249.79,642985.14
2024-01-18 19-07-46,647009.6,69012.48,577997.13,com.yangcong345.android.phone,3883,68933.9,577918.41,646852.31
2024-01-18 19-07-51,650950.68,69217.75,581732.93,com.yangcong345.android.phone,3883,69140.16,581680.98,650821.14
2024-01-18 19-07-56,654772.64,69477.07,585295.57,com.yangcong345.android.phone,3883,69397.83,585224.59,654622.42
2024-01-18 19-08-01,661920.0,72854.17,589065.83,com.yangcong345.android.phone,3883,72776.11,589039.57,661815.69
2024-01-18 19-08-06,665858.25,73103.37,592754.88,com.yangcong345.android.phone,3883,73024.05,592765.33,665789.39
2024-01-18 19-08-11,668626.92,73232.36,595394.56,com.yangcong345.android.phone,3883,73154.78,595437.61,668592.38
2024-01-18 19-08-16,671030.03,73354.59,597675.44,com.yangcong345.android.phone,3883,73274.23,597620.35,670894.58
2024-01-18 19-08-21,674955.08,73551.48,601403.61,com.yangcong345.android.phone,3883,73472.43,601387.56,674859.98
2024-01-18 19-08-26,678971.99,73759.9,605212.09,com.yangcong345.android.phone,3883,73680.45,605153.56,678834.0
2024-01-18 19-08-31,682849.74,74006.52,608843.22,com.yangcong345.android.phone,3883,73926.61,608827.82,682754.43
2024-01-18 19-08-36,686777.63,74258.52,612519.11,com.yangcong345.android.phone,3883,74178.17,612454.15,686632.32
2024-01-18 19-08-41,690732.3,74447.91,616284.39,com.yangcong345.android.phone,3883,74370.01,616236.48,690606.49
2024-01-18 19-08-46,694765.25,74727.06,620038.19,com.yangcong345.android.phone,3883,74650.13,620039.38,694689.51
2024-01-18 19-08-51,698626.85,75033.02,623593.83,com.yangcong345.android.phone,3883,74954.98,623566.99,698521.97
2024-01-18 19-08-56,702238.94,75212.59,627026.35,com.yangcong345.android.phone,3883,75134.25,626974.38,702108.63
2024-01-18 19-09-01,706165.07,75445.9,630719.17,com.yangcong345.android.phone,3883,75368.41,630670.47,706038.89
2024-01-18 19-09-06,709885.9,75636.27,634249.63,com.yangcong345.android.phone,3883,75556.83,634219.8,709776.63
2024-01-18 19-09-11,713937.98,75844.79,638093.19,com.yangcong345.android.phone,3883,75767.57,638093.77,713861.34
2024-01-18 19-09-16,718001.61,76049.35,641952.26,com.yangcong345.android.phone,3883,75969.44,641840.87,717810.31
2024-01-18 19-09-21,721970.49,76286.79,645683.7,com.yangcong345.android.phone,3883,76208.07,645571.97,721780.04
2024-01-18 19-09-26,725728.58,76481.38,649247.2,com.yangcong345.android.phone,3883,76401.79,649185.64,725587.43
2024-01-18 19-09-31,729566.55,76677.65,652888.9,com.yangcong345.android.phone,3883,76600.96,652908.09,729509.05
2024-01-18 19-09-36,733370.73,76920.34,656450.39,com.yangcong345.android.phone,3883,76843.16,656452.62,733295.78
2024-01-18 19-09-41,737438.81,77132.51,660306.3,com.yangcong345.android.phone,3883,77054.41,660251.56,737305.97
2024-01-18 19-09-46,741198.95,77325.78,663873.17,com.yangcong345.android.phone,3883,77247.33,663846.19,741093.52
2024-01-18 19-09-51,744910.97,77513.71,667397.26,com.yangcong345.android.phone,3883,77437.23,667417.71,744854.94
2024-01-18 19-09-56,748805.27,77709.44,671095.83,com.yangcong345.android.phone,3883,77631.29,671081.39,748712.68
2024-01-18 19-10-01,752802.31,77907.43,674894.88,com.yangcong345.android.phone,3883,77829.61,674823.48,752653.09
2024-01-18 19-10-06,756588.98,78108.4,678480.58,com.yangcong345.android.phone,3883,78033.18,678493.13,756526.31
2024-01-18 19-10-11,760723.4,78409.54,682313.86,com.yangcong345.android.phone,3883,78332.12,682256.79,760588.91
2024-01-18 19-10-16,764733.8,78663.48,686070.32,com.yangcong345.android.phone,3883,78584.97,686032.75,764617.72
2024-01-18 19-10-21,768433.31,78859.87,689573.44,com.yangcong345.android.phone,3883,78779.91,689460.0,768239.91
2024-01-18 19-10-26,772061.99,79063.36,692998.63,com.yangcong345.android.phone,3883,78984.68,692910.62,771895.3
2024-01-18 19-10-31,774915.25,79205.73,695709.51,com.yangcong345.android.phone,3883,79125.66,695651.97,774777.63
2024-01-18 19-10-37,777447.38,79321.53,698125.85,com.yangcong345.android.phone,3883,79253.01,698448.06,777701.07
2024-01-18 19-10-41,779017.32,79386.38,699630.94,com.yangcong345.android.phone,3883,79308.19,699611.56,778919.75
2024-01-18 19-10-46,780953.44,79472.45,701480.99,com.yangcong345.android.phone,3883,79396.62,701609.87,781006.49
2024-01-18 19-10-51,783261.0,79583.75,703677.25,com.yangcong345.android.phone,3883,79506.5,703611.71,783118.21
2024-01-18 19-10-56,786819.87,79799.27,707020.6,com.yangcong345.android.phone,3883,79755.81,706919.4,786675.21
2024-01-18 19-11-01,790549.04,80229.93,710319.1,com.yangcong345.android.phone,3883,80150.78,710266.42,790417.19
2024-01-18 19-11-06,794228.62,80409.07,713819.55,com.yangcong345.android.phone,3883,80329.74,713746.74,794076.48
2024-01-18 19-11-11,798188.96,80610.16,717578.8,com.yangcong345.android.phone,3883,80531.7,717516.86,798048.56
2024-01-18 19-11-16,801794.83,80782.31,721012.52,com.yangcong345.android.phone,3883,80703.74,720952.79,801656.53
2024-01-18 19-11-21,805810.78,80981.06,724829.72,com.yangcong345.android.phone,3883,80905.12,724887.3,805792.42
2024-01-18 19-11-26,809089.01,81155.47,727933.54,com.yangcong345.android.phone,3883,81077.86,727897.31,808975.17
2024-01-18 19-11-31,812867.28,81339.43,731527.85,com.yangcong345.android.phone,3883,81259.49,731429.22,812688.71
2024-01-18 19-11-36,816659.81,81529.96,735129.85,com.yangcong345.android.phone,3883,81452.45,735142.9,816595.35
2024-01-18 19-11-41,820231.76,81700.1,738531.66,com.yangcong345.android.phone,3883,81620.36,738505.95,820126.32
2024-01-18 19-11-46,826366.58,84098.6,742267.98,com.yangcong345.android.phone,3883,84036.49,742212.46,826248.95
2024-01-18 19-11-51,830343.57,84324.13,746019.45,com.yangcong345.android.phone,3883,84245.25,745917.97,830163.23
2024-01-18 19-11-56,834088.74,84512.42,749576.32,com.yangcong345.android.phone,3883,84433.37,749515.41,833948.78
2024-01-18 19-12-01,837873.06,84696.75,753176.31,com.yangcong345.android.phone,3883,84617.47,753128.48,837745.95
2024-01-18 19-12-06,841390.4,84869.03,756521.37,com.yangcong345.android.phone,3883,84788.56,756448.83,841237.39
2024-01-18 19-12-11,844836.65,85102.67,759733.98,com.yangcong345.android.phone,3883,85074.88,759761.88,844836.77
2024-01-18 19-12-16,848990.07,85369.63,763620.44,com.yangcong345.android.phone,3883,85291.16,763589.34,848880.5
2024-01-18 19-12-21,852624.59,85551.49,767073.1,com.yangcong345.android.phone,3883,85472.32,767008.84,852481.16
2024-01-18 19-12-26,856053.49,85704.05,770349.44,com.yangcong345.android.phone,3883,85623.05,770217.52,855840.57
2024-01-18 19-12-31,859473.36,85917.14,773556.22,com.yangcong345.android.phone,3883,85889.78,773510.46,859400.25
2024-01-18 19-12-36,863435.08,86171.51,777263.57,com.yangcong345.android.phone,3883,86093.06,777217.15,863310.21
2024-01-18 19-12-41,867378.72,86389.44,780989.28,com.yangcong345.android.phone,3883,86311.57,780931.68,867243.25
