datetime,activity window,fps,jank
2024-01-18 19-28-05,,0,0
2024-01-18 19-28-08,,0,0
2024-01-18 19-28-11,,0,0
2024-01-18 19-28-16,,10,1
2024-01-18 19-28-21,,16,5
2024-01-18 19-28-26,,12,0
2024-01-18 19-28-31,,0,0
2024-01-18 19-28-36,,0,0
2024-01-18 19-28-41,,0,0
2024-01-18 19-28-46,,0,0
2024-01-18 19-28-51,,0,0
2024-01-18 19-28-56,,0,0
2024-01-18 19-29-01,,0,0
2024-01-18 19-29-06,,0,0
2024-01-18 19-29-11,,0,0
2024-01-18 19-29-16,,0,0
2024-01-18 19-29-21,,0,0
2024-01-18 19-29-26,,0,0
2024-01-18 19-29-31,,0,0
2024-01-18 19-29-36,,0,0
2024-01-18 19-29-41,,0,0
2024-01-18 19-29-46,,0,0
2024-01-18 19-29-51,,0,0
2024-01-18 19-29-56,,0,0
2024-01-18 19-30-01,,0,0
2024-01-18 19-30-06,,0,0
2024-01-18 19-30-11,,0,0
2024-01-18 19-30-16,,0,0
2024-01-18 19-30-21,,0,0
2024-01-18 19-30-26,,0,0
2024-01-18 19-30-31,,0,0
2024-01-18 19-30-36,,0,0
2024-01-18 19-30-41,,0,0
2024-01-18 19-30-46,,0,0
2024-01-18 19-30-51,,0,0
2024-01-18 19-30-56,,0,0
2024-01-18 19-31-01,,0,0
2024-01-18 19-31-06,,0,0
2024-01-18 19-31-11,,0,0
2024-01-18 19-31-16,,0,0
2024-01-18 19-31-21,,0,0
2024-01-18 19-31-26,,0,0
2024-01-18 19-31-31,,0,0
2024-01-18 19-31-36,,50,1
2024-01-18 19-31-41,,24,1
2024-01-18 19-31-46,,24,1
2024-01-18 19-31-51,,24,1
2024-01-18 19-31-56,,24,1
2024-01-18 19-32-01,,24,2
2024-01-18 19-32-06,,24,2
2024-01-18 19-32-11,,24,1
2024-01-18 19-32-16,,23,3
2024-01-18 19-32-21,,24,3
2024-01-18 19-32-26,,28,2
2024-01-18 19-32-31,,0,0
2024-01-18 19-32-36,,0,0
2024-01-18 19-32-41,,0,0
2024-01-18 19-32-46,,0,0
