datetime,activity window,fps,jank
2024-07-08 16-05-17,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,52,0
2024-07-08 16-05-19,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,59,0
2024-07-08 16-05-21,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,59,0
2024-07-08 16-05-23,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,44,0
2024-07-08 16-05-25,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,46,0
2024-07-08 16-05-27,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,49,0
2024-07-08 16-05-29,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,56,0
2024-07-08 16-05-31,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,57,0
2024-07-08 16-05-33,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,53,0
2024-07-08 16-05-35,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,54,0
2024-07-08 16-05-37,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,53,0
2024-07-08 16-05-39,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,48,0
2024-07-08 16-05-41,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,53,0
2024-07-08 16-05-43,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,44,0
2024-07-08 16-05-45,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,49,0
2024-07-08 16-05-47,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,47,0
2024-07-08 16-05-49,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,57,0
2024-07-08 16-05-51,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,57,0
2024-07-08 16-05-53,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,45,0
2024-07-08 16-05-55,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,54,0
2024-07-08 16-05-57,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,56,0
2024-07-08 16-05-59,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,52,0
2024-07-08 16-06-01,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,59,0
2024-07-08 16-06-03,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,60,0
